Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,24.9,0.076,0.087,0.085,0.097,0.088,0.087,0.286,0.198,0.309,0.542,0.615,0.637,0.066,0.058,0.049,0.065,0.059,0.056,0.495,0.553,0.58,0.528,0.57,0.622,0.07,0.057,0.055,0.052,0.054,0.052,0.525,0.59,0.588,0.534,0.541,0.648,0.052,0.049,0.046,0.054,0.052,0.053,0.579,0.51,0.568,0.554,0.599,0.624,0.066,0.058,0.054,0.06,0.058,0.057,0.552,0.519,0.631,0.553,0.656,0.654,0.062,0.058,0.048,0.051,0.047,0.05,0.594,0.466,0.607,0.63,0.656,0.697,0.073,0.066,0.064,0.169,0.181,0.165,0.565,0.576,0.596,0.565,0.605,0.597,0.06,0.061,0.054,0.067,0.068,0.054,0.645,0.604,0.643,0.607,0.739,0.55
0:59:56,24.6,0.074,0.088,0.082,0.096,0.088,0.087,0.291,0.213,0.343,0.554,0.627,0.657,0.063,0.055,0.048,0.062,0.055,0.055,0.494,0.556,0.585,0.528,0.57,0.638,0.07,0.052,0.053,0.052,0.053,0.05,0.526,0.591,0.594,0.537,0.54,0.659,0.054,0.049,0.046,0.052,0.051,0.051,0.577,0.507,0.565,0.553,0.599,0.631,0.061,0.054,0.051,0.058,0.057,0.056,0.554,0.524,0.639,0.551,0.658,0.657,0.057,0.055,0.047,0.05,0.047,0.049,0.593,0.467,0.612,0.632,0.661,0.701,0.072,0.068,0.062,0.17,0.183,0.165,0.566,0.576,0.598,0.565,0.605,0.604,0.059,0.062,0.052,0.067,0.069,0.058,0.648,0.603,0.657,0.613,0.746,0.56
1:59:57,24.5,0.077,0.09,0.086,0.098,0.089,0.089,0.291,0.218,0.353,0.554,0.634,0.662,0.066,0.057,0.049,0.065,0.056,0.057,0.493,0.557,0.585,0.527,0.571,0.636,0.073,0.054,0.054,0.053,0.055,0.052,0.526,0.591,0.595,0.537,0.54,0.658,0.057,0.049,0.047,0.054,0.052,0.052,0.577,0.506,0.564,0.553,0.598,0.628,0.063,0.057,0.053,0.059,0.058,0.057,0.554,0.522,0.638,0.552,0.66,0.656,0.064,0.056,0.048,0.051,0.048,0.05,0.594,0.465,0.61,0.633,0.662,0.7,0.074,0.067,0.064,0.172,0.185,0.167,0.566,0.577,0.6,0.567,0.605,0.602,0.062,0.066,0.054,0.069,0.07,0.059,0.646,0.603,0.656,0.611,0.746,0.559
2:59:57,24.5,0.083,0.095,0.089,0.109,0.093,0.094,0.293,0.223,0.357,0.556,0.635,0.666,0.071,0.06,0.052,0.07,0.06,0.061,0.494,0.56,0.589,0.528,0.574,0.641,0.079,0.057,0.058,0.057,0.059,0.055,0.526,0.592,0.597,0.536,0.542,0.663,0.062,0.051,0.049,0.056,0.055,0.056,0.578,0.507,0.566,0.557,0.6,0.629,0.069,0.061,0.055,0.062,0.06,0.059,0.554,0.522,0.64,0.553,0.661,0.659,0.071,0.059,0.05,0.053,0.049,0.051,0.594,0.467,0.612,0.635,0.664,0.703,0.08,0.07,0.066,0.175,0.187,0.17,0.566,0.577,0.603,0.567,0.605,0.603,0.067,0.069,0.058,0.072,0.072,0.061,0.647,0.604,0.657,0.613,0.743,0.559
3:59:57,24.5,0.091,0.102,0.096,0.116,0.098,0.1,0.295,0.228,0.366,0.558,0.638,0.672,0.078,0.064,0.054,0.077,0.065,0.066,0.494,0.563,0.59,0.531,0.576,0.648,0.087,0.062,0.062,0.061,0.064,0.059,0.528,0.595,0.601,0.538,0.544,0.668,0.069,0.054,0.051,0.06,0.06,0.059,0.58,0.509,0.569,0.558,0.602,0.634,0.077,0.066,0.059,0.065,0.065,0.062,0.556,0.529,0.645,0.556,0.663,0.664,0.075,0.063,0.052,0.056,0.051,0.054,0.595,0.473,0.617,0.637,0.666,0.712,0.088,0.075,0.071,0.179,0.19,0.174,0.567,0.581,0.605,0.568,0.605,0.603,0.075,0.077,0.063,0.076,0.075,0.064,0.648,0.607,0.662,0.614,0.746,0.56
4:59:58,24.5,0.102,0.11,0.105,0.124,0.105,0.108,0.297,0.234,0.372,0.561,0.643,0.68,0.087,0.071,0.058,0.087,0.07,0.074,0.496,0.569,0.595,0.534,0.581,0.655,0.099,0.068,0.068,0.067,0.071,0.065,0.531,0.598,0.609,0.54,0.548,0.673,0.079,0.057,0.054,0.065,0.065,0.065,0.582,0.512,0.573,0.562,0.606,0.638,0.087,0.073,0.065,0.07,0.071,0.067,0.556,0.532,0.651,0.558,0.668,0.67,0.084,0.068,0.055,0.06,0.054,0.058,0.599,0.478,0.624,0.641,0.668,0.719,0.099,0.081,0.076,0.184,0.194,0.179,0.569,0.585,0.608,0.574,0.609,0.605,0.087,0.086,0.07,0.081,0.078,0.067,0.65,0.61,0.669,0.616,0.746,0.561
5:59:59,24.4,0.117,0.122,0.115,0.135,0.113,0.12,0.302,0.244,0.387,0.566,0.649,0.69,0.101,0.079,0.064,0.1,0.078,0.084,0.499,0.576,0.602,0.54,0.588,0.668,0.115,0.076,0.076,0.076,0.082,0.073,0.534,0.602,0.617,0.545,0.554,0.684,0.092,0.061,0.057,0.072,0.073,0.073,0.585,0.517,0.581,0.568,0.612,0.643,0.102,0.082,0.071,0.077,0.079,0.074,0.559,0.538,0.659,0.563,0.673,0.678,0.096,0.075,0.059,0.065,0.058,0.062,0.602,0.486,0.63,0.648,0.674,0.733,0.113,0.09,0.083,0.192,0.199,0.187,0.571,0.59,0.613,0.579,0.614,0.609,0.105,0.098,0.079,0.087,0.082,0.071,0.653,0.615,0.676,0.619,0.75,0.565
7:00:00,24.4,0.138,0.139,0.131,0.153,0.124,0.135,0.308,0.259,0.406,0.574,0.66,0.706,0.119,0.09,0.071,0.118,0.088,0.098,0.504,0.587,0.612,0.547,0.597,0.683,0.135,0.088,0.086,0.088,0.096,0.084,0.539,0.607,0.63,0.551,0.562,0.7,0.11,0.067,0.062,0.082,0.084,0.083,0.589,0.524,0.591,0.578,0.622,0.651,0.122,0.094,0.081,0.087,0.089,0.082,0.563,0.546,0.671,0.571,0.682,0.692,0.111,0.084,0.065,0.072,0.063,0.069,0.608,0.5,0.642,0.658,0.683,0.751,0.132,0.103,0.092,0.202,0.206,0.195,0.573,0.598,0.619,0.586,0.62,0.615,0.127,0.115,0.092,0.094,0.086,0.076,0.659,0.621,0.689,0.622,0.752,0.568
8:00:00,24.4,0.165,0.16,0.151,0.174,0.14,0.155,0.322,0.28,0.431,0.585,0.674,0.726,0.144,0.104,0.081,0.142,0.102,0.117,0.511,0.602,0.626,0.557,0.611,0.705,0.162,0.103,0.1,0.105,0.115,0.099,0.547,0.619,0.65,0.559,0.574,0.718,0.135,0.074,0.067,0.094,0.098,0.096,0.595,0.534,0.605,0.591,0.635,0.665,0.148,0.111,0.094,0.099,0.104,0.094,0.569,0.56,0.689,0.582,0.695,0.709,0.132,0.096,0.072,0.081,0.07,0.076,0.616,0.517,0.661,0.673,0.695,0.779,0.158,0.118,0.105,0.214,0.215,0.207,0.578,0.609,0.634,0.596,0.629,0.625,0.157,0.136,0.109,0.104,0.092,0.083,0.666,0.631,0.706,0.627,0.758,0.573
9:00:01,24.4,0.202,0.188,0.178,0.202,0.16,0.183,0.337,0.309,0.466,0.602,0.695,0.753,0.177,0.124,0.094,0.174,0.121,0.142,0.52,0.624,0.646,0.573,0.63,0.735,0.197,0.123,0.12,0.127,0.142,0.121,0.559,0.632,0.677,0.571,0.59,0.749,0.169,0.084,0.075,0.11,0.119,0.115,0.603,0.548,0.624,0.609,0.654,0.683,0.182,0.133,0.112,0.116,0.125,0.111,0.575,0.578,0.715,0.597,0.713,0.734,0.16,0.113,0.081,0.092,0.077,0.086,0.628,0.539,0.683,0.692,0.71,0.813,0.189,0.139,0.123,0.229,0.226,0.223,0.586,0.624,0.65,0.613,0.64,0.635,0.195,0.167,0.134,0.114,0.1,0.091,0.676,0.646,0.729,0.632,0.762,0.578
